ID,Priority,Name ,LongLat
1,1,Kimball Terrace - Campostella Rd. to Ballentine Blvd.,
2,1,Westminster Ave. Ð Ballentine Blvd. to Westminster Bridge,
3,1,Corprew Ave. - Park Ave. to Ballentine Blvd.,
4,2,Ingleside Rd. - Virginia Beach Blvd. to Westminster Ave.,
5,2,Westminster Ave. - Ingleside Rd. to Westminster Bridge,
6,2,Rush St. - Princess Anne Rd. to Tait Terrace,
7,2,Tait Terrace - Ingleside Rd. to Olean St.,
8,2,Olean St. - Tait Terrace to Larkin St.,
9,2,Larkin St. - Olean St. to Azalea Garden Rd.,
10,2,Robin Hood Rd. - Chesapeake Blvd. to Robin Hood Rd. Bridge,
11,3,Halprin Dr. - Little Creek Rd. to Wharton Ave.,
12,3,Dominion Ave. Meadow Creek Rd. to Pace Rd.,
13,3,Walters Dr. - Little Creek Rd. to north terminus,
14,3,Heutte Dr. - Shore Dr. to Azalea Garden Rd.,
15,3,Tarrallton Dr. - Halprin Dr. to the school,
16,4,Leo Ave. - 27th St. to Lindenwood Ave.,
17,4,Lindenwood Ave. - 25th St. to Tidewater Dr.,
18,4,Shoop Ave. - Tidewater Dr. to Chesapeake Blvd.,
19,4,Chesapeake Blvd. Tait Terrace to Sub Station,
20,4,Tait Terrace - Chesapeake Blvd. to Ingleside Rd.,
21,4,Alsace Ave. - Tidewater Dr. to Norway Pl,
22,4,Norway Pl - Willow Wood Dr. to Lafayette Blvd.,
23,5,Springfield Ave. Ð Indian River Road,
24,5,Berkley Ave. Extended - Berkley Ave. to Hockaday Dr.,
25,6,Sheppard Ave. - Tidewater Dr. to Tallwood Ave.,
26,6,Fishermans Rd. - Chapin St. to Bayview Blvd.,
27,6,Sturgis St. - Bayview Blvd. to Ocean View Ave.,
28,7,Maple Ave. - Granby St. to Mason Creek Rd.,
29,7,Government Ave. - Granby St. to Mason Creek Rd.,
30,7,Mason Creek Rd. - Maple Ave. to Ocean View Ave.,
31,7,Battersea Rd. - Granby St. to Norfolk Ave.,
32,7,Norfolk Ave. - Battersea Rd. to Ocean View Ave.,
33,8,Philpotts Rd. - Tidewater Dr. to Sewells Point Rd.,
34,8,Widgeon Rd. - Tidewater Dr. to Sewells Point Rd.,
35,8,Johnstons Rd. - Denison Ave. to Halprin Dr.,
36,8,Halprin Dr. - Johnstons Rd. to Little Creek Rd.,
37,8,Auburn Ave. - Johnstons Rd. to W. Tanners Creek Rd.,
38,8,W. Tanners Creek Rd. - Auburn Rd. to Johnstons Rd.,
39,8,Springmeadow Blvd. - Military Hwy to Hunt Rd.,
40,8,Meadow Lake Rd. - Military Hwy to Aldow Dr.,
41,9,Raby Rd. - Virginia Beach Blvd. to Military Hwy,
42,9,Lowery Rd. - Military Hwy to Kempsville Rd.,
43,9,Poplar Hall Dr. - Military Hwy to Virginia Beach Blvd.,
44,9,Glenrock Rd. - Virginia Beach Blvd. to Poplar Hall Dr.,
45,9,Curlew Dr. - Revere Dr. to Newtown Rd.,
